1, 09/29/03,2,.,6,.,10,.,14,16,18,20,.,24,8,110, 13.75,.,3,5,.,9,11,13,.,.,.,.,23,25,7,89, 12.71
2, 10/06/03,.,4,6,.,.,12,.,16,.,20,.,24,6,82, 13.67,1,.,5,7,9,11,13,15,.,19,.,23,.,9,103, 11.44
3, 10/13/03,.,4,6,8,10,12,14,16,.,20,.,24,9,114, 12.67,1,.,.,7,9,11,.,.,17,.,.,23,.,6,68, 11.33
4, 10/20/03,2,4,.,8,10,12,.,16,18,.,.,24,8,94, 11.75,1,.,5,.,.,.,13,.,17,19,.,23,25,7,103, 14.71
5, 10/27/03,2,4,.,8,.,12,.,16,.,20,.,24,7,86, 12.29,1,.,.,.,9,11,13,15,.,19,.,23,25,8,116, 14.50
6, 11/03/03,2,4,6,.,10,12,.,16,.,.,.,.,6,50, 8.33,1,.,5,7,.,.,.,15,17,19,21,23,25,9,133, 14.78
7, 11/10/03,.,4,.,8,10,12,14,16,18,.,22,.,8,104, 13.00,1,.,.,7,.,.,.,15,.,19,21,23,25,7,111, 15.86
8, 11/17/03,.,.,6,8,10,.,.,16,18,20,22,.,7,100, 14.29,1,.,5,.,9,.,13,15,17,19,.,.,25,8,104, 13.00
9, 11/24/03,.,4,.,.,10,.,.,16,.,20,.,24,5,74, 14.80,.,3,5,.,9,11,13,15,17,19,21,.,25,10,138, 13.80
10, 12/01/03,2,4,6,8,10,12,14,.,.,20,.,24,9,100, 11.11,.,3,5,.,9,11,.,.,.,19,.,23,.,6,70, 11.67
11, 12/08/03,2,.,6,8,10,12,.,16,.,20,22,24,9,120, 13.33,.,.,.,7,9,11,.,.,.,19,.,23,25,6,94, 15.67
12, 12/15/03,2,4,.,8,10,12,14,16,.,.,.,24,8,90, 11.25,1,.,5,7,9,11,.,.,17,.,.,.,25,7,75, 10.71
13, 12/22/03,.,.,6,8,10,.,14,16,.,.,.,.,5,54, 10.80,.,3,5,7,9,11,13,15,17,19,.,23,.,10,122, 12.20
