1, 09/29/03,2,3,5,6,9,10,11,13,14,16,18,20,23,24,25,.,P,I,.,I,P,.,.,I,P,I,.,I,P,.,P,.,P,.,P,.,.,I,P,I
2, 10/06/03,1,4,5,6,7,9,11,12,13,15,16,19,20,23,24,I,.,.,P,I,P,I,.,I,.,I,P,I,.,I,P,.,.,I,P,.,.,I,P,.
3, 10/13/03,1,4,6,7,8,9,10,11,12,14,16,17,20,23,24,I,.,.,P,.,P,I,P,I,P,I,P,.,P,.,P,I,.,.,P,.,.,I,P,.
4, 10/20/03,1,2,4,5,8,10,12,13,16,17,18,19,23,24,25,I,P,.,P,I,.,.,P,.,P,.,P,I,.,.,P,I,P,I,.,.,.,I,P,I
5, 10/27/03,1,2,4,8,9,11,12,13,15,16,19,20,23,24,25,I,P,.,P,.,.,.,P,I,.,I,P,I,.,I,P,.,.,I,P,.,.,I,P,I
6, 11/03/03,1,2,4,5,6,7,10,12,15,16,17,19,21,23,25,I,P,.,P,I,P,I,.,.,P,.,P,.,.,I,P,I,.,I,.,I,.,I,.,I
7, 11/10/03,1,4,7,8,10,12,14,15,16,18,19,21,22,23,25,I,.,.,P,.,.,I,P,.,P,.,P,.,P,I,P,.,P,I,.,I,P,I,.,I
8, 11/17/03,1,5,6,8,9,10,13,15,16,17,18,19,20,22,25,I,.,.,.,I,P,.,P,I,P,.,.,I,.,I,P,I,P,I,P,.,P,.,.,I
9, 11/24/03,3,4,5,9,10,11,13,15,16,17,19,20,21,24,25,.,.,I,P,I,.,.,.,I,P,I,.,I,.,I,P,I,.,I,P,I,.,.,P,I
10, 12/01/03,2,3,4,5,6,8,9,10,11,12,14,19,20,23,24,.,P,I,P,I,P,.,P,I,P,I,P,.,P,.,.,.,.,I,P,.,.,I,P,.
11, 12/08/03,2,6,7,8,9,10,11,12,16,19,20,22,23,24,25,.,P,.,.,.,P,I,P,I,P,I,P,.,.,.,P,.,.,I,P,.,P,I,P,I
12, 12/15/03,1,2,4,5,7,8,9,10,11,12,14,16,17,24,25,I,P,.,P,I,.,I,P,I,P,I,P,.,P,.,P,I,.,.,.,.,.,.,P,I
13, 12/22/03,3,5,6,7,8,9,10,11,13,14,15,16,17,19,23,.,.,I,.,I,P,I,P,I,P,I,.,I,P,I,P,I,.,I,.,.,.,I,.,.
14, 12/29/03,1,2,5,6,7,9,13,14,15,18,19,20,21,23,25,I,P,.,.,I,P,I,.,I,.,.,.,I,P,I,.,.,P,I,P,I,.,I,.,I
15, 01/05/04,1,2,4,6,8,10,12,15,16,18,19,21,23,24,25,I,P,.,P,.,P,.,P,.,P,.,P,.,.,I,P,.,P,I,.,I,.,I,P,I
16, 01/12/04,2,5,6,7,8,10,12,13,15,17,19,21,23,24,25,.,P,.,.,I,P,I,P,.,P,.,P,I,.,I,.,I,.,I,.,I,.,I,P,I
17, 01/19/04,1,2,3,5,6,7,9,13,14,16,17,18,19,20,21,I,P,I,.,I,P,I,.,I,.,.,.,I,P,.,P,I,P,I,P,I,.,.,.,.
18, 01/26/04,2,6,7,8,10,11,14,15,17,18,19,20,22,23,24,.,P,.,.,.,P,I,P,.,P,I,.,.,P,I,.,I,P,I,P,.,P,I,P,.
19, 02/02/04,2,5,6,7,8,10,11,13,14,15,16,17,20,23,24,.,P,.,.,I,P,I,P,.,P,I,.,I,P,I,P,I,.,.,P,.,.,I,P,.
20, 02/09/04,3,4,6,7,8,9,10,14,16,17,18,19,20,23,24,.,.,I,P,.,P,I,P,I,P,.,.,.,P,.,P,I,P,I,P,.,.,I,P,.
21, 02/16/04,1,2,4,5,8,11,14,16,18,19,20,22,23,24,25,I,P,.,P,I,.,.,P,.,.,I,.,.,P,.,P,.,P,I,P,.,P,I,P,I
22, 02/25/04,1,2,3,4,5,6,7,9,10,12,13,14,15,22,25,I,P,I,P,I,P,I,.,I,P,.,P,I,P,I,.,.,.,.,.,.,P,.,.,I
23, 03/01/04,1,3,4,5,6,8,10,11,12,14,16,17,18,19,20,I,.,I,P,I,P,.,P,.,P,I,P,.,P,.,P,I,P,I,P,.,.,.,.,.
24, 03/08/04,1,2,3,5,7,10,11,14,17,19,20,21,23,24,25,I,P,I,.,I,.,I,.,.,P,I,.,.,P,.,.,I,.,I,P,I,.,I,P,I
25, 03/15/04,1,2,3,4,5,6,7,9,13,14,16,20,22,23,24,I,P,I,P,I,P,I,.,I,.,.,.,I,P,.,P,.,.,.,P,.,P,I,P,.
26, 03/22/04,5,7,8,9,10,11,13,14,16,17,19,20,21,22,23,.,.,.,.,I,.,I,P,I,P,I,.,I,P,.,P,I,.,I,P,I,P,I,.,.
27, 03/29/04,3,6,8,10,11,12,13,14,15,18,20,21,22,24,25,.,.,I,.,.,P,.,P,.,P,I,P,I,P,I,.,.,P,.,P,I,P,.,P,I
28, 04/05/04,1,3,7,9,10,11,12,13,14,16,17,18,19,20,21,I,.,I,.,.,.,I,.,I,P,I,P,I,P,.,P,I,P,I,P,I,.,.,.,.
29, 04/12/04,1,4,5,6,8,9,13,14,16,17,19,20,21,22,24,I,.,.,P,I,P,.,P,I,.,.,.,I,P,.,P,I,.,I,P,I,P,.,P,.
30, 04/19/04,1,2,3,4,6,7,8,11,14,17,19,20,21,22,23,I,P,I,P,.,P,I,P,.,.,I,.,.,P,.,.,I,.,I,P,I,P,I,.,.
31, 04/26/04,1,2,3,4,9,13,14,15,17,19,20,21,22,24,25,I,P,I,P,.,.,.,.,I,.,.,.,I,P,I,.,I,.,I,P,I,P,.,P,I
32, 05/03/04,1,2,4,6,7,9,10,11,14,15,16,17,20,22,23,I,P,.,P,.,P,I,.,I,P,I,.,.,P,I,P,I,.,.,P,.,P,I,.,.
33, 05/10/04,1,2,5,7,8,10,11,12,14,16,19,20,21,23,24,I,P,.,.,I,.,I,P,.,P,I,P,.,P,.,P,.,.,I,P,I,.,I,P,.
34, 05/17/04,1,2,4,7,8,9,10,11,15,16,18,19,20,21,23,I,P,.,P,.,.,I,P,I,P,I,.,.,.,I,P,.,P,I,P,I,.,I,.,.
35, 05/24/04,1,4,5,6,11,12,13,14,16,17,19,21,22,23,25,I,.,.,P,I,P,.,.,.,.,I,P,I,P,.,P,I,.,I,.,I,P,I,.,I
36, 05/31/04,1,4,5,7,8,10,11,14,17,19,20,21,22,23,24,I,.,.,P,I,.,I,P,.,P,I,.,.,P,.,.,I,.,I,P,I,P,I,P,.
37, 06/07/04,1,3,4,5,8,9,10,11,13,15,20,21,22,23,24,I,.,I,P,I,.,.,P,I,P,I,.,I,.,I,.,.,.,.,P,I,P,I,P,.
38, 06/14/04,1,2,3,6,7,8,9,10,13,14,15,16,22,24,25,I,P,I,.,.,P,I,P,I,P,.,.,I,P,I,P,.,.,.,.,.,P,.,P,I
39, 06/21/04,2,7,8,9,11,13,14,15,17,18,19,21,22,23,24,.,P,.,.,.,.,I,P,I,.,I,.,I,P,I,.,I,P,I,.,I,P,I,P,.
40, 06/28/04,1,2,5,7,8,10,12,13,14,16,17,20,21,22,24,I,P,.,.,I,.,I,P,.,P,.,P,I,P,.,P,I,.,.,P,I,P,.,P,.
41, 07/05/04,2,3,4,9,12,13,15,16,17,18,19,20,21,23,25,.,P,I,P,.,.,.,.,I,.,.,P,I,.,I,P,I,P,I,P,I,.,I,.,I
42, 07/12/04,1,3,4,5,6,8,11,12,14,15,17,21,22,24,25,I,.,I,P,I,P,.,P,.,.,I,P,.,P,I,.,I,.,.,.,I,P,.,P,I
43, 07/19/04,1,3,6,7,8,9,10,14,17,18,19,20,22,23,24,I,.,I,.,.,P,I,P,I,P,.,.,.,P,.,.,I,P,I,P,.,P,I,P,.
44, 07/26/04,3,4,5,6,10,11,12,13,14,18,19,21,23,24,25,.,.,I,P,I,P,.,.,.,P,I,P,I,P,.,.,.,P,I,.,I,.,I,P,I
45, 08/02/04,1,2,3,5,7,9,14,16,17,18,19,21,23,24,25,I,P,I,.,I,.,I,.,I,.,.,.,.,P,.,P,I,P,I,.,I,.,I,P,I
46, 08/09/04,1,2,4,5,6,8,10,11,14,18,19,21,23,24,25,I,P,.,P,I,P,.,P,.,P,I,.,.,P,.,.,.,P,I,.,I,.,I,P,I
47, 08/16/04,1,2,3,4,5,6,8,10,11,13,15,18,20,22,25,I,P,I,P,I,P,.,P,.,P,I,.,I,.,I,.,.,P,.,P,.,P,.,.,I
